Date,Open,Close,PercentChange
05/28/2020,3046.61,3029.73,-0.005541
05/29/2020,3025.17,3044.31,0.006327
06/01/2020,3038.78,3055.73,0.005578
06/02/2020,3064.78,3080.82,0.005234
06/03/2020,3098.90,3122.87,0.007735
06/04/2020,3111.56,3112.35,0.000254
06/05/2020,3163.84,3193.93,0.009511
06/08/2020,3199.92,3232.39,0.010147
06/09/2020,3213.32,3207.18,-0.001911
06/10/2020,3213.42,3190.14,-0.007245
06/11/2020,3123.53,3002.10,-0.038876
06/12/2020,3071.04,3041.31,-0.009681
06/15/2020,2993.76,3066.59,0.024327
06/16/2020,3131.00,3124.74,-0.001999
06/17/2020,3136.13,3113.49,-0.007219
06/18/2020,3101.64,3115.34,0.004417
06/19/2020,3140.29,3097.74,-0.013550
06/22/2020,3094.42,3117.86,0.007575
06/23/2020,3138.70,3131.29,-0.002361
06/24/2020,3114.40,3050.33,-0.020572
06/25/2020,3046.60,3083.76,0.012197
06/26/2020,3073.20,3009.05,-0.020874
06/29/2020,3018.59,3053.24,0.011479
06/30/2020,3050.20,3100.29,0.016422
07/01/2020,3105.92,3115.86,0.003200
07/02/2020,3143.64,3130.01,-0.004336
07/06/2020,3155.29,3179.72,0.007743
07/07/2020,3166.44,3145.32,-0.006670
07/08/2020,3153.07,3169.94,0.005350
07/09/2020,3176.17,3152.05,-0.007594
07/10/2020,3152.47,3185.04,0.010332
07/13/2020,3205.08,3155.22,-0.015557
07/14/2020,3141.11,3197.52,0.017959
07/15/2020,3225.98,3226.56,0.000180
07/16/2020,3208.36,3215.57,0.002247
07/17/2020,3224.21,3224.73,0.000161
07/20/2020,3224.29,3251.84,0.008545
07/21/2020,3268.52,3257.30,-0.003433
07/22/2020,3254.86,3276.02,0.006501
07/23/2020,3271.64,3235.66,-0.010998
07/24/2020,3218.58,3215.63,-0.000917
07/27/2020,3219.84,3239.41,0.006078
07/28/2020,3234.27,3218.44,-0.004894
07/29/2020,3227.22,3258.44,0.009674
07/30/2020,3231.76,3246.22,0.004474
07/31/2020,3270.45,3271.12,0.000205
08/03/2020,3288.26,3294.61,0.001931
08/04/2020,3289.92,3306.51,0.005043
08/05/2020,3317.37,3327.77,0.003135
08/06/2020,3323.17,3349.16,0.007821
08/07/2020,3340.05,3351.28,0.003362
08/10/2020,3356.04,3360.47,0.001320
08/11/2020,3370.34,3333.69,-0.010874
08/12/2020,3355.46,3380.35,0.007418
08/13/2020,3372.95,3373.43,0.000142
08/14/2020,3368.66,3372.85,0.001244
08/17/2020,3380.86,3381.99,0.000334
08/18/2020,3387.04,3389.78,0.000809
08/19/2020,3392.51,3374.85,-0.005206
08/20/2020,3360.48,3385.51,0.007448
08/21/2020,3386.01,3397.16,0.003293
08/24/2020,3418.09,3431.28,0.003859
08/25/2020,3435.95,3443.62,0.002232
08/26/2020,3449.97,3478.73,0.008336
08/27/2020,3485.14,3484.55,-0.000169
08/28/2020,3494.69,3508.01,0.003811
08/31/2020,3509.73,3500.31,-0.002684
09/01/2020,3507.44,3526.65,0.005477
09/02/2020,3543.76,3580.84,0.010463
09/03/2020,3564.74,3455.06,-0.030768
09/04/2020,3453.60,3426.96,-0.007714
09/08/2020,3371.88,3331.84,-0.011875
09/09/2020,3369.82,3398.96,0.008647
09/10/2020,3412.56,3339.19,-0.021500
09/11/2020,3352.70,3340.97,-0.003499
09/14/2020,3363.56,3383.54,0.005940
09/15/2020,3407.73,3401.20,-0.001916
09/16/2020,3411.23,3385.49,-0.007546
09/17/2020,3346.86,3357.01,0.003033
09/18/2020,3357.38,3319.47,-0.011292
09/21/2020,3285.57,3281.06,-0.001373
09/22/2020,3295.75,3315.57,0.006014
09/23/2020,3320.11,3236.92,-0.025056
09/24/2020,3226.14,3246.59,0.006339
09/25/2020,3236.66,3298.46,0.019094
09/28/2020,3333.90,3351.60,0.005309
09/29/2020,3350.92,3335.47,-0.004611
09/30/2020,3341.21,3363.00,0.006522
10/01/2020,3385.87,3380.80,-0.001497
10/02/2020,3338.94,3348.42,0.002839
10/05/2020,3367.27,3408.60,0.012274
10/06/2020,3408.74,3360.97,-0.014014
10/07/2020,3384.56,3419.44,0.010306
10/08/2020,3434.28,3446.83,0.003654
10/09/2020,3459.67,3477.14,0.005050
10/12/2020,3500.02,3534.22,0.009771
10/13/2020,3534.01,3511.93,-0.006248
10/14/2020,3515.47,3488.67,-0.007623
10/15/2020,3453.72,3483.34,0.008576
10/16/2020,3493.50,3483.81,-0.002774
10/19/2020,3493.66,3426.92,-0.019103
10/20/2020,3439.38,3443.12,0.001087
10/21/2020,3439.91,3435.56,-0.001265
10/22/2020,3438.50,3453.49,0.004359
10/23/2020,3464.90,3465.39,0.000141
10/26/2020,3441.42,3400.97,-0.011754
10/27/2020,3403.15,3390.68,-0.003664
10/28/2020,3342.48,3271.03,-0.021376
10/29/2020,3277.17,3310.11,0.010051
10/30/2020,3293.59,3269.96,-0.007175
11/02/2020,3296.20,3310.24,0.004259
11/03/2020,3336.25,3369.16,0.009864
11/04/2020,3406.46,3443.44,0.010856
11/05/2020,3485.74,3510.45,0.007089
11/06/2020,3508.34,3509.44,0.000314
11/09/2020,3583.04,3550.50,-0.009082
11/10/2020,3543.26,3545.53,0.000641
11/11/2020,3563.22,3572.66,0.002649
11/12/2020,3562.67,3537.01,-0.007202
11/13/2020,3552.57,3585.15,0.009171
11/16/2020,3600.16,3626.91,0.007430
11/17/2020,3610.31,3609.53,-0.000216
11/18/2020,3612.09,3567.79,-0.012264
11/19/2020,3559.41,3581.87,0.006310
11/20/2020,3579.31,3557.54,-0.006082
11/23/2020,3566.82,3577.59,0.003019
11/24/2020,3594.52,3635.41,0.011376
11/25/2020,3635.50,3629.65,-0.001609
11/27/2020,3638.55,3638.35,-0.000055
11/30/2020,3634.18,3621.63,-0.003453
12/01/2020,3645.87,3662.45,0.004548
12/02/2020,3653.78,3669.01,0.004168
12/03/2020,3668.28,3666.72,-0.000425
12/04/2020,3670.94,3699.12,0.007677
12/07/2020,3694.73,3691.96,-0.000750
12/08/2020,3683.05,3702.25,0.005213
12/09/2020,3705.98,3672.82,-0.008948
12/10/2020,3659.13,3668.10,0.002451
12/11/2020,3656.08,3663.46,0.002019
12/14/2020,3675.27,3647.49,-0.007559
12/15/2020,3666.41,3694.62,0.007694
12/16/2020,3696.25,3701.17,0.001331
12/17/2020,3713.65,3722.48,0.002378
12/18/2020,3722.39,3709.41,-0.003487
12/21/2020,3684.28,3694.92,0.002888
12/22/2020,3698.08,3687.26,-0.002926
12/23/2020,3693.42,3690.01,-0.000923
12/24/2020,3694.03,3703.06,0.002444
12/28/2020,3723.03,3735.36,0.003312
12/29/2020,3750.01,3727.04,-0.006125
12/30/2020,3736.19,3732.04,-0.001111
12/31/2020,3733.27,3756.07,0.006107
01/04/2021,3764.61,3700.65,-0.016990
01/05/2021,3698.02,3726.86,0.007799
01/06/2021,3712.20,3748.14,0.009682
01/07/2021,3764.71,3803.79,0.010381
01/08/2021,3815.05,3824.68,0.002524
01/11/2021,3803.14,3799.61,-0.000928
01/12/2021,3801.62,3801.19,-0.000113
01/13/2021,3802.23,3809.84,0.002001
01/14/2021,3814.98,3795.54,-0.005096
01/15/2021,3788.73,3768.25,-0.005406
01/19/2021,3781.88,3798.91,0.004503
01/20/2021,3816.22,3851.85,0.009336
01/21/2021,3857.46,3853.07,-0.001138
01/22/2021,3844.24,3841.47,-0.000721
01/25/2021,3851.68,3855.36,0.000955
01/26/2021,3862.96,3849.62,-0.003453
01/27/2021,3836.83,3750.77,-0.022430
01/28/2021,3755.75,3787.38,0.008422
01/29/2021,3778.05,3714.24,-0.016890
02/01/2021,3731.17,3773.86,0.011441
02/02/2021,3791.84,3826.31,0.009091
02/03/2021,3840.27,3830.17,-0.002630
02/04/2021,3836.66,3871.74,0.009143
02/05/2021,3878.30,3886.83,0.002199
02/08/2021,3892.59,3915.59,0.005909
02/09/2021,3910.49,3911.23,0.000189
02/10/2021,3920.78,3909.88,-0.002780
02/11/2021,3916.40,3916.38,-0.000005
02/12/2021,3911.65,3934.83,0.005926
02/16/2021,3939.61,3932.59,-0.001782
